job_title,skill_name,estimated,std. error,t-value,P-value,Sig
AI Consultant,Azure                                      ,-803.874,13157.617,-0.061,0.951283,
AI Product Manager,Azure                                 ,1658.226,13553.295,0.122,0.902624,
AI Research Scientist,Azure                              ,8947.701,13283.87,0.674,0.500584,
AI Software Engineer,Azure                              ,-1604.911,12302.777,-0.13,0.89621,
AI Specialist,Azure                                    ,-12816.718,13534.377,-0.947,0.343657,
Autonomous Systems Engineer,Azure                       ,-7367.827,12388.41,-0.595,0.552023,
Computer Vision Engineer,Azure                           ,-192.091,13405.726,-0.014,0.988568,
Data Analyst,Azure                                     ,-10162.389,12970.81,-0.783,0.433349,
Data Engineer,Azure                                     ,-4438.299,12852.847,-0.345,0.729858,
Data Scientist,Azure                                    ,13032.51,12666.643,1.029,0.30354,
Deep Learning Engineer,Azure                             ,1088.94,12726.528,0.086,0.931813,
Head of AI,Azure                                         ,-440.764,12861.723,-0.034,0.972662,
Machine Learning Engineer,Azure                         ,-5947.864,13541.031,-0.439,0.660484,
Machine Learning Researcher,Azure                      ,-11169.558,12634.271,-0.884,0.376664,
ML Ops Engineer,Azure                                   ,-2927.774,12285.593,-0.238,0.811642,
NLP Engineer,Azure                                       ,1425.137,12895.342,0.111,0.912001,
Principal Data Scientist,Azure                          ,10208.767,12802.889,0.797,0.425235,
Research Scientist,Azure                                 ,2888.878,12412.43,0.233,0.815964,
Robotics Engineer,Azure                                 ,-2643.533,13081.865,-0.202,0.839858,
AI Consultant,Docker                                   ,-11573.227,13876.839,-0.834,0.404288,
AI Product Manager,Docker                               ,-3791.193,13647.567,-0.278,0.781173,
AI Research Scientist,Docker                            ,-1044.077,14143.287,-0.074,0.941153,
AI Software Engineer,Docker                             ,-6032.012,13352.574,-0.452,0.651452,
AI Specialist,Docker                                   ,-25838.338,14484.061,-1.784,0.074444,.
Autonomous Systems Engineer,Docker                     ,-18084.043,13048.825,-1.386,0.165792,
Computer Vision Engineer,Docker                         ,-5367.494,13648.181,-0.393,0.694118,
Data Analyst,Docker                                    ,-20618.789,13066.22,-1.578,0.114567,
Data Engineer,Docker                                   ,-10729.153,13741.48,-0.781,0.434933,
Data Scientist,Docker                                   ,-1234.072,13700.724,-0.09,0.928229,
Deep Learning Engineer,Docker                          ,-17477.01,13323.954,-1.312,0.189629,
Head of AI,Docker                                      ,-17124.647,13818.792,-1.239,0.215267,
Machine Learning Engineer,Docker                        ,-6253.234,13805.145,-0.453,0.650577,
Machine Learning Researcher,Docker                     ,-23701.715,13340.169,-1.777,0.075621,.
ML Ops Engineer,Docker                                 ,-10009.82,13576.73,-0.737,0.460957,
NLP Engineer,Docker                                     ,-4766.372,13324.551,-0.358,0.720559,
Principal Data Scientist,Docker                         ,-1567.652,13647.727,-0.115,0.908552,
Research Scientist,Docker                               ,-6328.755,13085.907,-0.484,0.62865,
Robotics Engineer,Docker                               ,-10694.872,13714.564,-0.78,0.435502,
AI Consultant,GCP                                      ,-18908.673,12990.14,-1.456,0.145505,
AI Product Manager,GCP                                 ,-13512.827,13172.476,-1.026,0.304973,
AI Research Scientist,GCP                                 ,480.472,13056.296,0.037,0.970645,
AI Software Engineer,GCP                               ,-15649.102,12147.271,-1.288,0.197655,
AI Specialist,GCP                                      ,-27708.235,13445.267,-2.061,0.039326,*
Autonomous Systems Engineer,GCP                        ,-17542.058,12255.564,-1.431,0.152336,
Computer Vision Engineer,GCP                            ,-5712.741,13052.109,-0.438,0.661615,
Data Analyst,GCP                                        ,-1560.366,12367.91,-0.126,0.899604,
Data Engineer,GCP                                      ,-14224.416,12840.777,-1.108,0.267974,
Data Scientist,GCP                                      ,-6375.468,12651.691,-0.504,0.614318,
Deep Learning Engineer,GCP                              ,-8627.423,12646.262,-0.682,0.495109,
Head of AI,GCP                                         ,-19026.956,13023.175,-1.461,0.14402,
Machine Learning Engineer,GCP                          ,-11602.804,13396.638,-0.866,0.386441,
Machine Learning Researcher,GCP                        ,-14318.548,12630.19,-1.134,0.256936,
ML Ops Engineer,GCP                                    ,-10331.584,12173.796,-0.849,0.396067,
NLP Engineer,GCP                                        ,-6300.639,12492.758,-0.504,0.614023,
Principal Data Scientist,GCP                            ,-7334.909,12741.83,-0.576,0.564851,
Research Scientist,GCP                                  ,-7324.493,12279.543,-0.596,0.550858,
Robotics Engineer,GCP                                   ,-1483.663,12716.468,-0.117,0.90712,
AI Consultant,Git                                       ,-2726.589,12913.602,-0.211,0.832778,
AI Product Manager,Git                                  ,10975.51,12946.196,0.848,0.396566,
AI Research Scientist,Git                               ,10703.683,13121.987,0.816,0.414673,
AI Software Engineer,Git                                 ,6571.308,12032.871,0.546,0.584991,
AI Specialist,Git                                      ,-10525.983,13443.385,-0.783,0.433639,
Autonomous Systems Engineer,Git                         ,-3477.251,12142.9,-0.286,0.774603,
Computer Vision Engineer,Git                            ,11136.774,12884.76,0.864,0.387407,
Data Analyst,Git                                        ,-4724.619,12173.631,-0.388,0.697942,
Data Engineer,Git                                        ,1152.708,12720.342,0.091,0.927796,
Data Scientist,Git                                      ,14856.357,12271.06,1.211,0.226023,
Deep Learning Engineer,Git                              ,-1412.539,12349.491,-0.114,0.908937,
Head of AI,Git                                           ,6237.006,12963.188,0.481,0.630425,
Machine Learning Engineer,Git                            ,6670.514,13018.126,0.512,0.608372,
Machine Learning Researcher,Git                          ,1271.743,12333.586,0.103,0.917874,
ML Ops Engineer,Git                                      ,3290.756,12102.336,0.272,0.785692,
NLP Engineer,Git                                         ,5520.511,12473.536,0.443,0.658073,
Principal Data Scientist,Git                            ,11534.202,12744.192,0.905,0.365441,
Research Scientist,Git                                   ,7640.858,12514.149,0.611,0.541482,
Robotics Engineer,Git                                   ,18736.011,12949.086,1.447,0.147932,
AI Consultant,Hadoop                                    ,-5505.284,13475.73,-0.409,0.682884,
AI Product Manager,Hadoop                               ,-1260.733,13340.103,-0.095,0.924707,
AI Research Scientist,Hadoop                             ,2410.892,13348.946,0.181,0.856678,
AI Software Engineer,Hadoop                               ,265.348,12347.585,0.021,0.982855,
AI Specialist,Hadoop                                   ,-21746.996,13843.276,-1.571,0.116203,
Autonomous Systems Engineer,Hadoop                      ,-9042.676,12431.145,-0.727,0.466972,
Computer Vision Engineer,Hadoop                          ,2769.052,13300.117,0.208,0.835076,
Data Analyst,Hadoop                                     ,-2740.457,12352.179,-0.222,0.824424,
Data Engineer,Hadoop                                     ,3020.036,13063.394,0.231,0.817174,
Data Scientist,Hadoop                                   ,13671.843,13081.007,1.045,0.295951,
Deep Learning Engineer,Hadoop                           ,-6012.573,12861.404,-0.467,0.640152,
Head of AI,Hadoop                                       ,-2236.365,13221.898,-0.169,0.865686,
Machine Learning Engineer,Hadoop                         ,-578.451,13425.702,-0.043,0.965634,
Machine Learning Researcher,Hadoop                      ,-7459.82,12516.473,-0.596,0.551178,
ML Ops Engineer,Hadoop                                   ,1989.625,12294.376,0.162,0.871439,
NLP Engineer,Hadoop                                      ,5159.829,12881.896,0.401,0.688754,
Principal Data Scientist,Hadoop                          ,9063.096,12937.911,0.701,0.483614,
Research Scientist,Hadoop                                ,1923.552,12519.726,0.154,0.877893,
Robotics Engineer,Hadoop                                 ,4217.763,13428.012,0.314,0.753445,
AI Consultant,Java                                     ,-14354.738,12914.908,-1.111,0.266365,
AI Product Manager,Java                                 ,-5333.891,13084.547,-0.408,0.683534,
AI Research Scientist,Java                               ,3259.865,13153.703,0.248,0.804268,
AI Software Engineer,Java                               ,-2322.965,12300.876,-0.189,0.850215,
AI Specialist,Java                                    ,-24547.357,13429.484,-1.828,0.067576,.
Autonomous Systems Engineer,Java                        ,-2509.075,12442.333,-0.202,0.840186,
Computer Vision Engineer,Java                           ,-8334.097,12961.887,-0.643,0.520247,
Data Analyst,Java                                       ,-9836.572,12152.411,-0.809,0.41827,
Data Engineer,Java                                      ,-1049.01,12696.796,-0.083,0.934154,
Data Scientist,Java                                      ,5665.827,12136.236,0.467,0.640608,
Deep Learning Engineer,Java                            ,-10174.245,12243.509,-0.831,0.405983,
Head of AI,Java                                         ,-4927.887,13173.253,-0.374,0.708345,
Machine Learning Engineer,Java                         ,-10445.678,13367.381,-0.781,0.434554,
Machine Learning Researcher,Java                       ,-11886.991,12286.764,-0.967,0.333318,
ML Ops Engineer,Java                                    ,-8065.661,12039.468,-0.67,0.502903,
NLP Engineer,Java                                        ,-725.122,12589.935,-0.058,0.954071,
Principal Data Scientist,Java                            ,4765.678,12646.547,0.377,0.706297,
Research Scientist,Java                                 ,-2322.735,12162.504,-0.191,0.848546,
Robotics Engineer,Java                                  ,-6890.834,12685.441,-0.543,0.586989,
AI Consultant,Kubernetes                                ,-2802.17,12541.457,-0.223,0.8232,
AI Product Manager,Kubernetes                           ,-3811.741,12631.153,-0.302,0.762827,
AI Research Scientist,Kubernetes                        ,11710.081,12752.772,0.918,0.358499,
AI Software Engineer,Kubernetes                         ,-4506.806,11737.798,-0.384,0.701012,
AI Specialist,Kubernetes                                ,-7966.55,13282.261,-0.6,0.54865,
Autonomous Systems Engineer,Kubernetes                  ,-5229.055,11861.055,-0.441,0.659317,
Computer Vision Engineer,Kubernetes                      ,2804.964,12586.17,0.223,0.823645,
Data Analyst,Kubernetes                                 ,-4258.25,11705.33,-0.364,0.716019,
Data Engineer,Kubernetes                                 ,5224.486,12319.76,0.424,0.671514,
Data Scientist,Kubernetes                               ,11847.603,11913.888,0.994,0.320016,
Deep Learning Engineer,Kubernetes                       ,-4432.521,12206.753,-0.363,0.716517,
Head of AI,Kubernetes                                    ,1648.735,12806.373,0.129,0.897561,
Machine Learning Engineer,Kubernetes                      ,793.984,12874.494,0.062,0.950825,
Machine Learning Researcher,Kubernetes                  ,-7800.535,11791.711,-0.662,0.508278,
ML Ops Engineer,Kubernetes                              ,-2413.794,11759.404,-0.205,0.837366,
NLP Engineer,Kubernetes                                   ,480.412,12112.542,0.04,0.968362,
Principal Data Scientist,Kubernetes                      ,6195.612,12252.585,0.506,0.6131,
Research Scientist,Kubernetes                            ,4062.35,11746.471,0.346,0.729468,
Robotics Engineer,Kubernetes                            ,-1932.323,12506.418,-0.155,0.877211,
AI Consultant,MLOps                                     ,-5659.465,13267.153,-0.427,0.669689,
AI Product Manager,MLOps                                 ,5403.101,13590.509,0.398,0.690953,
AI Research Scientist,MLOps                              ,4519.952,13338.3,0.339,0.734709,
AI Software Engineer,MLOps                              ,-5299.407,12251.911,-0.433,0.665353,
AI Specialist,MLOps                                    ,-29905.865,13868.247,-2.156,0.031056,*
Autonomous Systems Engineer,MLOps                      ,-15355.886,12588.711,-1.22,0.222542,
Computer Vision Engineer,MLOps                         ,-12506.288,13351.605,-0.937,0.348924,
Data Analyst,MLOps                                      ,-6994.336,12598.043,-0.555,0.578766,
Data Engineer,MLOps                                    ,-10706.815,13157.693,-0.814,0.415804,
Data Scientist,MLOps                                    ,12473.083,12520.083,0.996,0.319136,
Deep Learning Engineer,MLOps                           ,-10758.389,12703.591,-0.847,0.397068,
Head of AI,MLOps                                       ,-15318.698,13204.611,-1.16,0.246013,
Machine Learning Engineer,MLOps                         ,-4027.036,13386.206,-0.301,0.763542,
Machine Learning Researcher,MLOps                      ,-16709.891,12298.844,-1.359,0.174263,
ML Ops Engineer,MLOps                                   ,-5966.628,12621.442,-0.473,0.636403,
NLP Engineer,MLOps                                       ,3010.267,12992.889,0.232,0.816783,
Principal Data Scientist,MLOps                           ,2461.062,12657.648,0.194,0.845838,
Research Scientist,MLOps                                 ,1894.754,12352.086,0.153,0.878087,
Robotics Engineer,MLOps                                 ,-1888.187,13214.792,-0.143,0.886382,
AI Consultant,MLP                                       ,-4648.574,13406.902,-0.347,0.728796,
AI Product Manager,MLP                                   ,7620.394,13472.9,0.566,0.571662,
AI Research Scientist,MLP                                ,8156.616,13407.1,0.608,0.542938,
AI Software Engineer,MLP                                 ,3045.423,12656.984,0.241,0.809857,
AI Specialist,MLP                                      ,-16615.309,14397.125,-1.154,0.248477,
Autonomous Systems Engineer,MLP                        ,-14460.44,12826.717,-1.127,0.259593,
Computer Vision Engineer,MLP                             ,7059.107,13320.356,0.53,0.59615,
Data Analyst,MLP                                        ,-1684.07,12493.667,-0.135,0.892775,
Data Engineer,MLP                                        ,3198.114,13363.565,0.239,0.810862,
Data Scientist,MLP                                      ,14224.633,12652.755,1.124,0.260921,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
